id,role,description,company,location,Stipend,Duration,Skills,Perks
5f9fc3a1fb43357b9094a471,Content Writing,"The Content Writing Intern will provide essential support and hands-on experience in the related field involving the following skills: Social Media Marketing, Blogging, Creative Writing, Copywriting, Report Writing, English Proficiency (Written), Certificate, Informal dress code, Free snacks & beverages.",Squadra Media Private Limited,"[""Bangalore"", ""560001""]",7000-12000 /month,6 Months,"[""Social Media Marketing"", ""Blogging"", ""Creative Writing"", ""Copywriting"", ""Report Writing"", ""English Proficiency (Written)"", ""Certificate""]",Internship; Certificate
5f9fc3a3fb43357b9094a472,Digital Marketing,"The Digital Marketing Intern will provide essential support and hands-on experience in the related field involving the following skills: Certificate, Letter of recommendation, Flexible work hours, Informal dress code.",Stock Market Institute,"[""Bangalore"", ""560001""]",2000 /month,3 Months,"[""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc3a3fb43357b9094a473,Human Resources (HR),"The Human Resources (HR) Intern will provide essential support and hands-on experience in the related field involving the following skills: Recruitment, Certificate, Letter of recommendation, Informal dress code, Job offer.",Lucio IT Services,"[""Bangalore"", ""560001""]",7000-8000 /month,5 Months,"[""Recruitment"", ""Certificate"", ""Letter of recommendation""]",Internship with job offer; Certificate
5f9fc3a4fb43357b9094a474,Operations,"The Operations Intern will provide essential support and hands-on experience in the related field involving the following skills: MS-Office, MS-Word, MS-PowerPoint, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Certificate.",Genesis Live,"[""Bangalore"", ""560001""]",3000 /month,1 Month,"[""MS-Office"", ""MS-Word"", ""MS-PowerPoint"", ""MS-Excel"", ""English Proficiency (Spoken)"", ""English Proficiency (Written)"", ""Certificate""]",Internship; Certificate
5f9fc3a5fb43357b9094a475,Research,"The Research Intern will provide essential support and hands-on experience in the related field involving the following skills: MS-Word, MS-PowerPoint, MS-Excel, Letter of recommendation, Flexible work hours.",Aman Jain,"[""Bangalore"", ""560001""]",400 /week,6 Weeks,"[""MS-Word"", ""MS-PowerPoint"", ""MS-Excel"", ""Letter of recommendation""]",Internship
5f9fc3a6fb43357b9094a476,Content Writing,"The Content Writing Intern will provide essential support and hands-on experience in the related field involving the following skills: Physics, Chemistry, Mathematics, Biology, Certificate, Informal dress code.",Noon Academy,"[""Bangalore"", ""560001""]",7500 /month,2 Months,"[""Physics"", ""Chemistry"", ""Mathematics"", ""Biology"", ""Certificate""]",Internship; Certificate
5f9fc3a9fb43357b9094a478,Data Annotation,"The Data Annotation Intern will provide essential support and hands-on experience in the related field involving the following skills: MS-Office, English Proficiency (Spoken), Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Job offer.",Tika Data Services Private Limited,"[""Bangalore"", ""560001""]",5000-8500 /month,3 Months,"[""MS-Office"", ""English Proficiency (Spoken)"", ""Certificate"", ""Letter of recommendation""]",Internship with job offer; Certificate
5f9fc3abfb43357b9094a479,Business Development (Sales),"The Business Development (Sales) Intern will provide essential support and hands-on experience in the related field involving the following skills: English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency(Spoken), Certificate, Letter of recommendation, Flexible work hours, 5 days a week.",Exygo,"[""Visakhapatnam"", ""530001""]",6000-10000 /month,3 Months,"[""English Proficiency (Spoken)"", ""English Proficiency (Written)"", ""Hindi Proficiency(Spoken)"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc3acfb43357b9094a47a,Web Development,"The Web Development Intern will provide essential support and hands-on experience in the related field involving the following skills: HTML, WordPress, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week.",Inovexic,"[""Bangalore"", ""560001""]",8000-15000 /month,3 Months,"[""HTML"", ""WordPress"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc3acfb43357b9094a47b,Operations,"The Operations Intern will provide essential support and hands-on experience in the related field involving the following skills: Accounting, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Kannada Proficiency (Spoken), Certificate, Letter of recommendation, Flexible work hours, Informal dress code.",Logic Legends,"[""Bangalore"", ""560001""]",5000 /month,6 Months,"[""Accounting"", ""Email Marketing"", ""English Proficiency (Spoken)"", ""English Proficiency (Written)"", ""Kannada Proficiency (Spoken)"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc3adfb43357b9094a47c,Mobile App Development,"The Mobile App Development Intern will provide essential support and hands-on experience in the related field involving the following skills: Java, C++ Programming, Flutter, REST API, Android, Certificate, Letter of recommendation, Flexible work hours, Job offer.",Prakshep Private Limited,"[""Bangalore"", ""560001""]",10000-15000 /month,6 Months,"[""Java"", ""C++ Programming"", ""Flutter"", ""REST API"", ""Android"", ""Certificate"", ""Letter of recommendation""]",Internship with job offer; Certificate
5f9fc3aefb43357b9094a47d,Web Development,"The Web Development Intern will provide essential support and hands-on experience in the related field involving the following skills: Certificate, Letter of recommendation, 5 days a week, Job offer.",Mind Fleck Private Limited,"[""Bangalore"", ""560001""]",2000 /month +  Incentives,3 Months,"[""Certificate"", ""Letter of recommendation""]",Internship with job offer; Certificate
5f9fc3affb43357b9094a47e,Client Servicing,"The Client Servicing Intern will provide essential support and hands-on experience in the related field involving the following skills: Client Relationship, Certificate, Letter of recommendation, 5 days a week.",Mind Fleck Private Limited,"[""Bangalore"", ""560001""]",10000 /month,3 Months,"[""Client Relationship"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc3affb43357b9094a47f,Video Making/Editing,"The Video Making/Editing Intern will provide essential support and hands-on experience in the related field involving the following skills: Adobe Creative Suite, 3ds Max, Adobe Flash, Adobe Audition, Adobe After Effects, Certificate, Letter of recommendation, 5 days a week.",Mind Fleck Private Limited,"[""Bangalore"", ""560001""]",10000 /month,3 Months,"[""Adobe Creative Suite"", ""3ds Max"", ""Adobe Flash"", ""Adobe Audition"", ""Adobe After Effects"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
